TERM,GENE
YAP,Lgals3
YAP,S100a14
YAP,Gm10393
YAP,2310007B03Rik
YAP,Rnf39
YAP,Nt5e
YAP,Apol9b
YAP,Ptpn14
YAP,Epn3
YAP,Hdac7
YAP,Glis2
YAP,Hspa1b
YAP,Stx11
YAP,Anxa1
YAP,Ddx60
YAP,Wwtr1
YAP,Isg15
YAP,Myof
YAP,Capn2
YAP,Apol9a
YAP,Isx
YAP,Fam129a
YAP,Clca6
YAP,Lamc2
YAP,Krt7
YAP,Rnf208
YAP,Fosl1
YAP,Gm16721
YAP,Tead4
YAP,2310002L13Rik
YAP,Mx2
YAP,Lhfpl2
YAP,Gm17237
YAP,Ier3
YAP,Dusp1
YAP,Jdp2
YAP,Slc7a3
YAP,A430105I19Rik
YAP,Tinagl1
YAP,Stk32c
YAP,Rnd1
YAP,Amotl1
YAP,Oxct2b
YAP,1700056E22Rik
YAP,Gprc5a
YAP,Rbpms
YAP,Hist1h3c
YAP,Cxcl10
YAP,Pmp22
YAP,Lama5
YAP,Dpcr1
YAP,Usp18
YAP,Rsad2
YAP,Sprr2a3
YAP,Fabp3
YAP,Ahnak
YAP,Gngt2
YAP,Pcolce
YAP,2010109I03Rik
YAP,Phldb2
YAP,Serpinb9
YAP,Bmp2
YAP,Arhgap40
YAP,Xaf1
YAP,Syt12
YAP,Ifit3
YAP,Zfp37
YAP,Rrad
YAP,Sprr2b
YAP,Ptrf
YAP,Stbd1
YAP,Atp11a
YAP,Vnn1
YAP,Epha2
YAP,Gm17244
YAP,Anxa3
YAP,Ano1
YAP,Sprr2a1
YAP,2310002J15Rik
YAP,Sprr2a2
YAP,Dusp14
YAP,Clu
YAP,Rassf8
YAP,Arhgap23
YAP,Tceal7
YAP,Gcnt1
YAP,Synpo2l
YAP,I830012O16Rik
YAP,Plaur
YAP,Mtap6
YAP,2610019F03Rik
YAP,Ccn1
YAP,Gjb4
YAP,Wfdc2
YAP,Cdh16
YAP,Slc12a4
YAP,Ahnak2
YAP,Unc13d
YAP,3-Mar
YAP,Ly6a
YAP,Adam8
YAP,Jub
YAP,Fgf15
YAP,Arhgap22
YAP,Amotl2
YAP,Plat
YAP,Slc25a43
YAP,Syt16
YAP,Cryab
YAP,Clic3
YAP,Edn1
YAP,Wwc2
YAP,Ildr2
YAP,Yap1
YAP,Btn1a1
YAP,P2rx2
YAP,Ly6c2
YAP,Lor
YAP,Mndal
YAP,Nid1
YAP,Syde1
YAP,Fgd3
YAP,AF064781
YAP,Akap2
YAP,Hpcal4
YAP,Calcb
YAP,Ehd2
YAP,Plau
YAP,Wnt7a
YAP,Il33
YAP,Zfp185
YAP,Ankrd35
YAP,Tm4sf1
YAP,Msln
YAP,Krt80
YAP,Cyp1a1
YAP,Ccn2
YAP,Psca
YAP,Syt8
YAP,Ggta1
YAP,Ly6c1
YAP,Serpinb9b
